,Quarter,Banks,Gross Advances_Domestic Operation,Gross NPAs_Domestic Operation,Gross NPAs to Gross Advances (%)_Domestic Operation,Food Credit - Gross Advances_Domestic Operation,Food Credit - GNPAs_Domestic Operation,Food Credit - GNPA Ratio_Domestic Operation,Non-Food Credit - Gross Advances_Domestic Operation,Non-Food Credit - GNPAs_Domestic Operation,Non-Food Credit - GNPA Ratio_Domestic Operation,Agriculture and Allied Activities - Gross Advances_Domestic Operation,Agriculture and Allied Activities - Gross NPAs_Domestic Operation,Agriculture and Allied Activities - GNPA Ratio_Domestic Operation,Industry - Gross Advances_Domestic Operation,Industry - Gross NPAs_Domestic Operation,Industry - GNPA Ratio_Domestic Operation,Services - Gross Advances_Domestic Operation,Services  - Gross NPAs_Domestic Operation,Services - GNPA Ratio_Domestic Operation,Retail Loans - Gross Advances_Domestic Operation,Retail Loans - Gross NPAs_Domestic Operation,Retail Loans - GNPA Ratio_Domestic Operation,Other Non-food Credit - Gross Advances_Domestic Operation,Other Non-food Credit - GNPAs_Domestic Operation,Other Non-food Credit - GNPA Ratio_Domestic Operation,Retail Loans - Housing Loans  - Gross Advances_Domestic Operation,Retail Loans - Housing Loans  - GNPAs_Domestic Operation,Retail Loans - Housing Loans  - GNPA Ratio_Domestic Operation,Retail Loans - Vehicle/Auto Loans - Gross Advances_Domestic Operation,Retail Loans - Vehicle/Auto Loans - GNPAs_Domestic Operation,Retail Loans - Vehicle/Auto Loans - GNPA Ratio_Domestic Operation,Retail Loans - Credit Card Receivables - Gross Advances_Domestic Operation,Retail Loans - Credit Card Receivables - GNPAs_Domestic Operation,Retail Loans - Credit Card Receivables - GNPA Ratio_Domestic Operation,Retail Loans - Education - Gross Advances_Domestic Operation,Retail Loans - Education - GNPAs_Domestic Operation,Retail Loans - Education - GNPA Ratio_Domestic Operation,Other Retail Loans - Gross Advances_Domestic Operation,Other Retail Loans - GNPAs_Domestic Operation,Other Retail Loans - GNPA Ratio_Domestic Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
150,2012Q3,BANK OF MAHARASHTRA,647784409000,12924471000,1.995181,,,,,,,,,,,,,,,,74068355000,1671269000,2.256387,,,,54419363000,1161682000,2.134685,3535024000,162546000,4.598158,921000,692000,75.135722,,,,16113047000,346349000,2.14949413354284,0,0,1,0
151,2012Q3,CANARA BANK,2043595800000,51926900000,2.540957,,,,71964400000,,,,,,,,,29124400000,,,222040000000,6605400000,2.974869,,,,129568100000,1743600000,1.345702,16629200000,448900000,2.699468,455600000,0,0,42840000000,,,32547100000,4412900000,13.5585044443284,0,0,1,0
152,2012Q3,CENTRAL BANK OF INDIA,1536007500000,85070700000,5.53843,,,,,,,,,,,,,,,,189641700000,9081500000,4.788767,,,,66948100000,3496600000,5.222852,8680300000,480800000,5.538979,235300000,35400000,15.044624,,,,113778000000,5068700000,4.45490340839178,0,0,1,0
153,2012Q3,CORPORATION BANK,987091996000,19493394000,1.974831,,,,27559939000,,,,,,,,,16358891000,,,211666740000,2675191000,1.263869,,,,77625014000,1173179000,1.511341,23734849000,488521000,2.058244,268811000,20539000,7.640684,11201048000,,,98837018000,992952000,1.0046357327373,0,0,1,0
154,2012Q3,DENA BANK,594056930000,11705448000,1.970425,,,,5912918000,,,,,,,,,2575818000,,,74851412000,1916381000,2.560247,,,,44808032000,1085477000,2.422505,5918748000,78393000,1.324486,0,0,,3337100000,,,20787532000,752511000,3.62001126444448,0,0,1,0
155,2012Q3,IDBI BANK LIMITED,1613448393000,58481297000,3.624615,,,,,,,,,,,,,,,,407399133000,15055791000,3.695587,,,,212379372000,2415551000,1.137376,1497092000,18246000,1.218763,281000,281000,100,,,,193522388000,12621713000,6.52209448758972,0,1,1,0
156,2012Q3,INDIAN BANK,904409900000,17889100000,1.977986,,,,42355100000,,,,,,,,,8242800000,,,138518889000,3363902000,2.428479,,,,57832093000,340544000,0.58885,4823200000,55700000,1.154835,392996000,50058000,12.737534,34112300000,,,41358300000,2917600000,7.05444856292449,0,0,1,0
157,2012Q3,INDIAN OVERSEAS BANK,1344130668000,53006176000,3.943529,,,,44608288000,,,,,,,,,20776700000,,,127355800000,3977800000,3.123376,,,,53392200000,1177900000,2.206127,6333100000,289000000,4.563326,229100000,46500000,20.296814,23831588000,,,43569812000,2464400000,5.65620985465808,0,0,1,0
158,2012Q3,ORIENTAL BANK OF COMMERCE,1188440200000,34655600000,2.916058,,,,29517400000,,,,,,,,,17262300000,,,131451300000,5037000000,3.831837,,,,57416200000,2289800000,3.988073,12745900000,595100000,4.668952,0,0,,12255100000,,,49034100000,2152100000,4.38898644004886,0,0,1,0
159,2012Q3,PUNJAB AND SIND BANK,493315903000,10705215000,2.170053,,,,,,,,,,,,,,,,36128879000,599928000,1.660522,,,,21324376000,456881000,2.142529,3173150000,49459000,1.558672,88000,88000,100,,,,11631265000,93500000,0.803867851003309,0,0,1,0
