,Quarter,Banks,Cash Funds_Domestic Operation,Cash Funds_Global Operation,Cash Funds_Overseas Operation,Due from Banks/FIs/CCPs_Domestic Operation,Due from Banks/FIs/CCPs_Global Operation,Due from Banks/FIs/CCPs_Overseas Operation,SLR/Approved Securities_Domestic Operation,SLR/Approved Securities_Global Operation,SLR/Approved Securities_Overseas Operation,Non-SLR Investments_Domestic Operation,Non-SLR Investments_Global Operation,Non-SLR Investments_Overseas Operation,Net Loans and Advances_Domestic Operation,Net Loans and Advances_Global Operation,Net Loans and Advances_Overseas Operation,Fixed Assets (net)_Domestic Operation,Fixed Assets (net)_Global Operation,Fixed Assets (net)_Overseas Operation,Other Assets_Domestic Operation,Other Assets_Global Operation,Other Assets_Overseas Operation,Total Assets_Domestic Operation,Total Assets_Global Operation,Total Assets_Overseas Operation,Paid-up Share Capital_Domestic Operation,Paid-up Share Capital_Global Operation,Paid-up Share Capital_Overseas Operation,Reserves &amp; Surplus_Domestic Operation,Reserves &amp; Surplus_Global Operation,Reserves &amp; Surplus_Overseas Operation,Total Deposits (a+b)_Domestic Operation,Total Deposits (a+b)_Global Operation,Total Deposits (a+b)_Overseas Operation,a. Customer Deposits (i+ii+iii+iv+v)_Domestic Operation,a. Customer Deposits (i+ii+iii+iv+v)_Global Operation,a. Customer Deposits (i+ii+iii+iv+v)_Overseas Operation,i. Current Deposits_Domestic Operation,i. Current Deposits_Global Operation,i. Current Deposits_Overseas Operation,ii. Savings Deposits_Domestic Operation,ii. Savings Deposits_Global Operation,ii. Savings Deposits_Overseas Operation,iii. Time Deposits_Domestic Operation,iii. Time Deposits_Global Operation,iii. Time Deposits_Overseas Operation,iV. NRI Deposits_Domestic Operation,iV. NRI Deposits_Global Operation,iV. NRI Deposits_Overseas Operation,V. Certificates of Deposits _Domestic Operation,V. Certificates of Deposits _Global Operation,V. Certificates of Deposits _Overseas Operation,b. Deposits of Banks  (i+ii)_Domestic Operation,b. Deposits of Banks  (i+ii)_Global Operation,b. Deposits of Banks  (i+ii)_Overseas Operation,i. Banks in India_Domestic Operation,i. Banks in India_Global Operation,i. Banks in India_Overseas Operation,ii. Overseas Banks_Domestic Operation,ii. Overseas Banks_Global Operation,ii. Overseas Banks_Overseas Operation,Total Borrowings_Domestic Operation,Total Borrowings_Global Operation,Total Borrowings_Overseas Operation,Other liabilities_Domestic Operation,Other liabilities_Global Operation,Other liabilities_Overseas Operation,Total capital &amp; Liabilities_Domestic Operation,Total capital &amp; Liabilities_Global Operation,Total capital &amp; Liabilities_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
20,2012Q2,HSBC BANK OMAN S.A.O.G.,102000000,,,1536600000,,,557800000,,,19600000,,,54800000,,,529700000,,,187200000,,,2987700000,,,1585100000,,,-568900000,,,1501200000,,,1492900000,,,46300000,,,53200000,,,63400000,,,1330000000,,,0,,,8300000,,,8300000,,,,,,401900000,,,68400000,,,2987700000,,,1,0,0,0
21,2012Q2,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,52765000,,,3881201000,,,125968000,,,0,,,878536000,,,39889000,,,527804000,,,5506163000,,,4554480000,,,181643000,,,720891000,,,720891000,,,717215000,,,3676000,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,49149000,,,5506163000,,,1,0,0,0
22,2012Q2,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,9791798000,,,10632290000,,,41068603000,,,86792896000,,,53930191000,,,26670000,,,18015389000,,,220257837000,,,31074990000,,,21325896000,,,109024319000,,,100825829000,,,27471195000,,,0,,,67028429000,,,6326205000,,,0,,,8198490000,,,8198490000,,,,,,44532715000,,,14299917000,,,220257837000,,,1,0,0,0
23,2012Q2,KBC BANK NV,217400000,,,1330500000,,,1375500000,,,0,,,8641300000,,,4800000,,,774700000,,,12344200000,,,1603900000,,,553400000,,,887100000,,,511600000,,,199000000,,,100000,,,271500000,,,41000000,,,0,,,375500000,,,375500000,,,,,,9042300000,,,257500000,,,12344200000,,,1,0,0,0
24,2012Q2,KRUNG THAI BANK PUBLIC COMPANY LIMITED,75867000,,,1339138000,,,377403000,,,30600000,,,111824000,,,5523000,,,115180000,,,2055535000,,,358445000,,,131142000,,,1513845000,,,1511661000,,,455818000,,,72059000,,,983784000,,,0,,,0,,,2184000,,,2184000,,,,,,0,,,52103000,,,2055535000,,,1,0,0,0
25,2012Q2,MASHREQ BANK PSC,0,,,351328000,,,310573000,,,93800000,,,847460000,,,14646000,,,438810000,,,2056617000,,,483812000,,,631909000,,,857975000,,,12635000,,,830000,,,6680000,,,414000,,,4711000,,,0,,,845340000,,,845340000,,,,,,0,,,82921000,,,2056617000,,,1,0,0,0
26,2012Q2,MIZUHO BANK LTD,1739635000,,,1500726000,,,9169441000,,,2399236000,,,37784824000,,,131675000,,,5195625000,,,57921162000,,,31886849000,,,2915549000,,,7983138000,,,7973531000,,,5482064000,,,39102000,,,2451583000,,,782000,,,0,,,9607000,,,9607000,,,,,,14693910000,,,441716000,,,57921162000,,,1,0,0,0
27,2012Q2,MUFG Bank Ltd,4627000000,,,2475800000,,,30157500000,,,3708600000,,,68573087000,,,292400000,,,8419213000,,,118253600000,,,25229300000,,,6973000000,,,38811800000,,,38798900000,,,18408200000,,,1314459000,,,18712607000,,,363634000,,,0,,,12900000,,,12900000,,,,,,43314100000,,,3925400000,,,118253600000,,,1,0,0,0
28,2012Q2,NATIONAL AUSTRALIA BANK,2106000,,,1449877000,,,0,,,0,,,0,,,32430000,,,32032000,,,1516445000,,,1530450000,,,-32162000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,18157000,,,1516445000,,,1,0,0,0
29,2012Q2,NatWest Markets Plc,9468882000,,,6841202000,,,63745060000,,,18847444000,,,127281697000,,,916162000,,,9992830000,,,237093277000,,,1690151000,,,29042776000,,,129348902000,,,128893129000,,,34306708000,,,27628369000,,,59632990000,,,7325062000,,,0,,,455773000,,,455773000,,,,,,63229882000,,,13781566000,,,237093277000,,,1,0,0,0
