,Quarter,Banks,1. Total Interest Income (Net of Interest Tax) (April to Date)_Domestic Operation,1. Total Interest Income (Net of Interest Tax) (April to Date)_Global Operation,1. Total Interest Income (Net of Interest Tax) (April to Date)_Overseas Operation,2. Interest Expense (April to Date)_Domestic Operation,2. Interest Expense (April to Date)_Global Operation,2. Interest Expense (April to Date)_Overseas Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Domestic Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Global Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Overseas Operation,4. Other Operating Income (OOI) (April to Date) _Domestic Operation,4. Other Operating Income (OOI) (April to Date) _Global Operation,4. Other Operating Income (OOI) (April to Date) _Overseas Operation,5. Total Operating Income (April to Date) [3 + 4]_Domestic Operation,5. Total Operating Income (April to Date) [3 + 4]_Global Operation,5. Total Operating Income (April to Date) [3 + 4]_Overseas Operation,6. Operating Expense (OE) (April to Date)_Domestic Operation,6. Operating Expense (OE) (April to Date)_Global Operation,6. Operating Expense (OE) (April to Date)_Overseas Operation,Of Which: Staff Expenses (April to Date)_Domestic Operation,Of Which: Staff Expenses (April to Date)_Global Operation,Of Which: Staff Expenses (April to Date)_Overseas Operation,7. Net Operating Income (April to Date) [5 - 6]_Domestic Operation,7. Net Operating Income (April to Date) [5 - 6]_Global Operation,7. Net Operating Income (April to Date) [5 - 6]_Overseas Operation,8. Capital Gains/(Losses) (April to Date)_Domestic Operation,8. Capital Gains/(Losses) (April to Date)_Global Operation,8. Capital Gains/(Losses) (April to Date)_Overseas Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Domestic Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Global Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Overseas Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Domestic Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Global Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Overseas Operation,11. Risk Provisions - Total (April to Date)_Domestic Operation,11. Risk Provisions - Total (April to Date)_Global Operation,11. Risk Provisions - Total (April to Date)_Overseas Operation,12. Write Offs - Total (April to Date) _Domestic Operation,12. Write Offs - Total (April to Date) _Global Operation,12. Write Offs - Total (April to Date) _Overseas Operation,13. Provisions For Liabilities (April to Date) _Domestic Operation,13. Provisions For Liabilities (April to Date) _Global Operation,13. Provisions For Liabilities (April to Date) _Overseas Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Domestic Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Global Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Overseas Operation,15. Provision For Income Taxes (April to Date) _Domestic Operation,15. Provision For Income Taxes (April to Date) _Global Operation,15. Provision For Income Taxes (April to Date) _Overseas Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Domestic Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Global Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
1556,2016Q3,BANDHAN BANK LIMITED,18163181000,18163181000,0,7088459000,7088459000,,11074722000,11074722000,0,1968461000,1968461000,,13043183000,13043183000,0,4520935000,4520935000,,2501912000,2501912000,,8522248000,8522248000,0,0,0,,0,0,,8522248000,8522248000,0,460045000,460045000,,0,0,,0,0,,8062203000,8062203000,0,2837807000,2837807000,,5224396000,5224396000,0,0,1,0,0
1557,2016Q3,CITY UNION BANK LIMITED,15628775000,15628775000,0,9816545000,9816545000,,5812230000,5812230000,0,2152510000,2152510000,,7964740000,7964740000,0,3240030000,3240030000,,1400270000,1400270000,,4724710000,4724710000,0,476000,476000,,,0,,4725186000,4725186000,0,1377497000,1377497000,,,0,,0,0,,3347689000,3347689000,0,875000000,875000000,,2472689000,2472689000,0,0,1,0,0
1558,2016Q3,CSB BANK LIMITED,6943077000,6943077000,0,5223226000,5223226000,,1719851000,1719851000,0,1411614000,1411614000,,3131465000,3131465000,0,2180816000,2180816000,,1461026000,1461026000,,950649000,950649000,0,-892000,-892000,,,0,,949757000,949757000,0,136545000,136545000,,,0,,,0,,813212000,813212000,0,281524000,281524000,,531688000,531688000,0,0,1,0,0
1559,2016Q3,DCB BANK LIMITED,9768900000,9768900000,0,6095400000,6095400000,,3673500000,3673500000,0,1217500000,1217500000,,4891000000,4891000000,0,2954800000,2954800000,,1475200000,1475200000,,1936200000,1936200000,0,-100000,-100000,,,0,,1936100000,1936100000,0,470100000,470100000,,,0,,,0,,1466000000,1466000000,0,510800000,510800000,,955200000,955200000,0,0,1,0,0
1560,2016Q3,FEDERAL BANK LTD,40751544000,40800220000,48676000,26596443000,26611617000,15174000,14155101000,14188603000,33502000,4959656000,4984327000,24671000,19114757000,19172930000,58173000,10162487000,10166512000,4025000,5806281000,5810026000,3745000,8952270000,9006418000,54148000,1490000,1490000,0,0,0,0,8953760000,9007908000,54148000,3352984000,3365012000,12028000,3831000,3831000,0,0,0,0,5596945000,5639065000,42120000,1953600000,1953600000,0,3643345000,3685465000,42120000,0,1,0,0
1561,2016Q3,HDFC BANK LTD.,330357830000,335859561000,5501962000,174587137000,178109332000,3522427000,155770693000,157750229000,1979535000,56465446000,56854487000,539522000,212236139000,214604716000,2519057000,95341180000,95525203000,334506000,32214894000,32423801000,208909000,117114201000,119298755000,2184551000,1923000,1923000,0,0,0,0,117116124000,119300678000,2184551000,16122801000,15973997000,-148804000,863286000,863286000,0,183232000,183235000,0,99946805000,102280160000,2333355000,35337795000,35337795000,0,64609010000,66942365000,2333355000,0,1,0,0
1562,2016Q3,ICICI BANK LIMITED,245109901000,269696540000,24586639000,149887264000,165578408000,15691144000,95222637000,104118132000,8895495000,118642037000,126930446000,8288409000,213864674000,231048578000,17183904000,69238969000,71099465000,1860496000,27508577000,28473092000,964515000,144621694000,159945102000,15323408000,-2228000,-2434000,-206000,0,0,0,144619466000,159942668000,15323202000,18647690000,32666435000,14018745000,59738790000,64740204000,5001414000,0,0,0,66232986000,62536029000,-3696957000,8806200000,9189734000,383534000,57426786000,53346295000,-4080491000,0,1,0,0
1563,2016Q3,IDBI BANK LIMITED,138062642000,143461273000,5398631000,106124538000,109837224000,3712686000,31938104000,33624049000,1685945000,22254540000,22658866000,404326000,54192644000,56282915000,2090271000,26040212000,26164455000,124243000,12312488000,12334088000,21600000,28101314000,30067342000,1966028000,-2716000,-2716000,0,0,0,0,28098598000,30064626000,1966028000,27257227000,26182989000,-1074238000,10806683000,10806683000,0,823503000,823503000,0,-10788815000,-7748549000,3040266000,-10714765000,-10714765000,0,-74050000,2966216000,3040266000,0,1,1,0
1564,2016Q3,IDFC FIRST BANK LIMITED,40584569000,40584569000,0,30639811000,30639811000,,9944758000,9944758000,0,6250318000,6250318000,,16195076000,16195076000,0,6002405000,6002405000,,2813226000,2813226000,,10192671000,10192671000,0,-20757000,-20757000,,,0,,10171914000,10171914000,0,459483000,459483000,,,0,,,0,,9712431000,9712431000,0,3187177000,3187177000,,6525254000,6525254000,0,0,1,0,0
1565,2016Q3,INDUSIND BANK LTD,67561520000,67612841000,51321000,39423838000,39442555000,18717000,28137682000,28170286000,32604000,19129122000,19429075000,299953000,47266804000,47599361000,332557000,22444117000,22446858000,2741000,7324781000,7326820000,2039000,24822687000,25152503000,329816000,1838000,1838000,0,0,0,0,24824525000,25154341000,329816000,2152205000,2152205000,,2291274000,2291274000,,,,,20381046000,20710862000,329816000,7054480000,7054480000,,13326566000,13656382000,329816000,0,1,0,0
1566,2016Q3,JAMMU & KASHMIR BANK LTD,33580787000,33580787000,0,20840817000,20840817000,,12739970000,12739970000,0,2476414000,2476414000,,15216384000,15216384000,0,7966940000,7966940000,,5468326000,5468326000,,7249444000,7249444000,0,0,0,,0,0,,7249444000,7249444000,0,13057868000,13057868000,,0,0,,0,0,,-5808424000,-5808424000,0,-13224000,-13224000,,-5795200000,-5795200000,0,0,1,0,0
1567,2016Q3,KARNATAKA BANK LTD,25669723000,25669723000,0,18050301000,18050301000,,7619422000,7619422000,0,3641278000,3641278000,,11260700000,11260700000,0,6313289000,6313289000,,3015652000,3015652000,,4947411000,4947411000,0,-673000,-673000,,0,0,,4946738000,4946738000,0,2668662000,2668662000,,0,0,,0,0,,2278076000,2278076000,0,-175507000,-175507000,,2453583000,2453583000,0,0,1,0,0
1568,2016Q3,KARUR VYSYA BANK LTD,27779450000,27779450000,0,18018652000,18018652000,,9760798000,9760798000,0,3798139000,3798139000,,13558937000,13558937000,0,7536948000,7536948000,,2943468000,2943468000,,6021989000,6021989000,0,3202000,3202000,,0,0,,6025191000,6025191000,0,1861069000,1861069000,,,0,,,0,,4164122000,4164122000,0,1437500000,1437500000,,2726622000,2726622000,0,0,1,0,0
1569,2016Q3,KOTAK MAHINDRA BANK LTD.,87990242000,87993170000,2928000,48850454000,48848612000,-1842000,39139788000,39144558000,4770000,15590677000,15593950000,3273000,54730465000,54738508000,8043000,27234692000,27236397000,1707000,13665490000,13666347000,857000,27495773000,27502111000,6336000,48945000,48945000,,,,,27544718000,27551056000,6336000,2257161000,2257161000,,1515501000,1515501000,,,,,23772056000,23778394000,6336000,8225830000,8225830000,,15546226000,15552564000,6336000,0,1,0,0
1570,2016Q3,LAKSHMI VILAS BANK LTD,13854211000,13854211000,0,10198306000,10198306000,,3655905000,3655905000,0,2196305000,2196305000,,5852210000,5852210000,0,3010816000,3010816000,,1580795000,1580795000,,2841394000,2841394000,0,1172000,1172000,,0,0,,2842566000,2842566000,0,993282000,993282000,,,0,,-16020000,-16020000,,1865304000,1865304000,0,610000000,610000000,,1255304000,1255304000,0,0,1,0,0
1571,2016Q3,NAINITAL BANK LTD,2723047000,2723047000,0,1790645000,1790645000,,932402000,932402000,0,270908000,270908000,,1203310000,1203310000,0,555056000,555056000,,353525000,353525000,,648254000,648254000,0,0,0,,0,0,,648254000,648254000,0,346196000,346196000,,0,0,,0,0,,302058000,302058000,0,134132000,134132000,,167926000,167926000,0,0,1,0,0
1572,2016Q3,RBL BANK LIMITED,17656230000,17656230000,0,12180196000,12180196000,,5476034000,5476034000,0,3366680000,3366680000,,8842714000,8842714000,0,4807028000,4807028000,,2148208000,2148208000,,4035686000,4035686000,0,-192000,-192000,,0,0,,4035494000,4035494000,0,1089102000,1089102000,,95109000,95109000,,22284000,22284000,,2828999000,2828999000,0,956707000,956707000,,1872292000,1872292000,0,0,1,0,0
1573,2016Q3,SOUTH INDIAN BANK LTD,28974067000,28974067000,0,20786032000,20786032000,,8188035000,8188035000,0,3199603000,3199603000,,11387638000,11387638000,0,5813286000,5813286000,,3351612000,3351612000,,5574352000,5574352000,0,-6185000,-6185000,,,0,,5568167000,5568167000,0,2296539000,2296539000,,127831000,127831000,,0,0,,3143797000,3143797000,0,1088000000,1088000000,,2055797000,2055797000,0,0,1,0,0
1574,2016Q3,TAMILNAD MERCANTILE BANK LTD,17280481000,17280481000,0,11237762000,11237762000,,6042719000,6042719000,0,2163503000,2163503000,,8206222000,8206222000,0,3728497000,3728497000,,2142040000,2142040000,,4477725000,4477725000,0,0,0,,0,0,,4477725000,4477725000,0,1765849000,1765849000,,0,0,,0,0,,2711876000,2711876000,0,938500000,938500000,,1773376000,1773376000,0,0,1,0,0
1575,2016Q3,THE DHANALAKSHMI BANK LTD,5536658000,5536658000,0,3833753000,3833753000,,1702905000,1702905000,0,598509000,598509000,,2301414000,2301414000,0,1855760000,1855760000,,1109496000,1109496000,,445654000,445654000,0,-38000,-38000,,,0,,445616000,445616000,0,291198000,291198000,,36876000,36876000,,,0,,117542000,117542000,0,0,0,,117542000,117542000,0,0,1,0,0
1576,2016Q3,YES BANK LTD.,79123756000,79574651000,450895000,51585814000,51947305000,361491000,27537942000,27627346000,89404000,17672235000,17884501000,212266000,45210177000,45511847000,301670000,18232626000,18583892000,351266000,8340457000,8407457000,67000000,26977551000,26927955000,-49596000,-757000,-757000,0,0,0,0,26976794000,26927198000,-49596000,2420386000,2424855000,4469000,1256723000,1256723000,0,0,0,0,23299685000,23245620000,-54065000,7910890000,7910890000,0,15388795000,15334730000,-54065000,0,1,0,0
1577,2016Q3,ALLAHABAD BANK,88761829000,89929472000,1167643000,61843819000,62503213000,659394000,26918010000,27426259000,508249000,11716976000,11815659000,98683000,38634986000,39241918000,606932000,19804658000,19864252000,59594000,11502080000,11517062000,14982000,18830328000,19377666000,547338000,,,,,,,18830328000,19377666000,547338000,23073021000,23535676000,462655000,,,,-2083838000,-2083838000,0,-2158855000,-2074172000,84683000,2925087000,2925147000,60000,-5083942000,-4999319000,84623000,0,0,1,0
1578,2016Q3,ANDHRA BANK,88447579000,88447579000,0,62161525000,62161525000,,26286054000,26286054000,0,10533651000,10533651000,,36819705000,36819705000,0,16389348000,16389348000,,9965998000,9965998000,,20430357000,20430357000,0,499000,499000,,0,0,,20430856000,20430856000,0,18954825000,18954825000,,50956000,50956000,,0,0,,1425075000,1425075000,0,600000000,600000000,,825075000,825075000,0,0,0,1,0
1579,2016Q3,BANK OF BARODA,187066809000,209678587000,22611778000,128932650000,141706655000,12774005000,58134159000,67971932000,9837773000,26867427000,30054834000,3187407000,85001586000,98026766000,13025180000,41535869000,44433243000,2897374000,21091258000,22766238000,1674980000,43465717000,53593523000,10127806000,3162000,3355000,193000,0,0,0,43468879000,53596878000,10127999000,33615520000,41128493000,7512973000,0,-3129467000,-3129467000,0,0,0,9853359000,15597852000,5744493000,4894492000,5840437000,945945000,4958867000,9757415000,4798548000,0,0,1,0
1580,2016Q3,BANK OF INDIA,166247498000,188844077000,22596579000,122295900000,133894951000,11599051000,43951598000,54949126000,10997528000,30681193000,32490620000,1809427000,74632791000,87439746000,12806955000,43246829000,45972606000,2725777000,25971385000,26834070000,862685000,31385962000,41467140000,10081178000,,,,,,,31385962000,41467140000,10081178000,44671501000,50664184000,5992683000,,,,,,,-13285539000,-9197044000,4088495000,-4303100000,-3051850000,1251250000,-8982439000,-6145194000,2837245000,0,0,1,0
1581,2016Q3,BANK OF MAHARASHTRA,61716100000,61716100000,0,44609600000,44609600000,,17106500000,17106500000,0,5699000000,5699000000,,22805500000,22805500000,0,13944900000,13944900000,,8913500000,8913500000,,8860600000,8860600000,0,-500000,-500000,,,0,,8860100000,8860100000,0,15165300000,15165300000,,,0,,348300000,348300000,,-6653500000,-6653500000,0,692000000,692000000,,-7345500000,-7345500000,0,0,0,1,0
1582,2016Q3,BHARATIYA MAHILA BANK LTD.,831986000,831986000,0,340657000,340657000,,491329000,491329000,0,59637000,59637000,,550966000,550966000,0,489944000,489944000,,224232000,224232000,,61022000,61022000,0,0,0,,-1648000,-1648000,,59374000,59374000,0,8147000,8147000,,0,0,,0,0,,51227000,51227000,0,0,0,,51227000,51227000,0,0,0,1,0
1583,2016Q3,CANARA BANK,199827773000,206070553000,6242780000,153457089000,158573017000,5115928000,46370684000,47497536000,1126852000,33177938000,33637778000,459840000,79548622000,81135314000,1586692000,41074148000,41565342000,491194000,24107547000,24251057000,143510000,38474474000,39569972000,1095498000,26412000,26412000,0,,0,,38500886000,39596384000,1095498000,28579521000,29261038000,681517000,0,0,,,0,,9921365000,10335346000,413981000,4425600000,4476772000,51172000,5495765000,5858574000,362809000,0,0,1,0
1584,2016Q3,CENTRAL BANK OF INDIA,123571200000,123571200000,0,90048000000,90048000000,,33523200000,33523200000,0,12710700000,12710700000,,46233900000,46233900000,0,31825400000,31825400000,,21903300000,21903300000,,14408500000,14408500000,0,-700000,-700000,,0,0,,14407800000,14407800000,0,32048700000,32048700000,,0,0,,0,0,,-17640900000,-17640900000,0,-5224600000,-5224600000,,-12416300000,-12416300000,0,0,0,1,0
1585,2016Q3,CORPORATION BANK,96796741000,96796741000,0,73925892000,73925892000,,22870849000,22870849000,0,13117584000,13117584000,,35988433000,35988433000,0,15353662000,15353662000,,7158143000,7158143000,,20634771000,20634771000,0,3016000,3016000,,,0,,20637787000,20637787000,0,17214523000,17214523000,,,0,,,0,,3423264000,3423264000,0,1001241000,1001241000,,2422023000,2422023000,0,0,0,1,0
1586,2016Q3,DENA BANK,52936754000,52936754000,0,40013081000,40013081000,,12923673000,12923673000,0,5278773000,5278773000,,18202446000,18202446000,0,11593937000,11593937000,,7580090000,7580090000,,6608509000,6608509000,0,-731000,-731000,,0,0,,6607778000,6607778000,0,9402638000,9402638000,,2688351000,2688351000,,0,0,,-5483211000,-5483211000,0,-2246500000,-2246500000,,-3236711000,-3236711000,0,0,0,1,0
1587,2016Q3,IDBI BANK LIMITED,138062642000,143461273000,5398631000,106124538000,109837224000,3712686000,31938104000,33624049000,1685945000,22254540000,22658866000,404326000,54192644000,56282915000,2090271000,26040212000,26164455000,124243000,12312488000,12334088000,21600000,28101314000,30067342000,1966028000,-2716000,-2716000,0,0,0,0,28098598000,30064626000,1966028000,27257227000,26182989000,-1074238000,10806683000,10806683000,0,823503000,823503000,0,-10788815000,-7748549000,3040266000,-10714765000,-10714765000,0,-74050000,2966216000,3040266000,0,1,1,0
1588,2016Q3,INDIAN BANK,79409216000,80656857000,1247641000,54916821000,55511123000,594302000,24492395000,25145734000,653339000,10087468000,10272291000,184823000,34579863000,35418025000,838162000,16034976000,16314769000,279793000,9687207000,9797694000,110487000,18544887000,19103256000,558369000,-9395000,-9415000,-20000,,,,18535492000,19093841000,558349000,4358425000,8908962000,197236000,4397000000,43700000,,,,,9780067000,10141179000,361113000,2880000000,3016221000,136221000,6900067000,7124958000,224892000,0,0,1,0
1589,2016Q3,INDIAN OVERSEAS BANK,98425451000,102075305000,3649854000,74520434000,76766546000,2246112000,23905017000,25308759000,1403742000,15696378000,16378404000,682026000,39601395000,41687163000,2085768000,23308293000,23988145000,679852000,15268828000,15498578000,229750000,16133916000,17539832000,1405916000,5754000,6040000,286000,0,0,0,16139670000,17545872000,1406202000,36882998000,38267261000,1384262000,86460000,86460000,0,0,0,0,-20829788000,-20807849000,21940000,1300000000,1348510000,48510000,-22129788000,-22156359000,-26570000,0,0,1,0
1590,2016Q3,ORIENTAL BANK OF COMMERCE,94742100000,94742100000,0,69539900000,69539900000,,25202200000,25202200000,0,11969400000,11969400000,,37171600000,37171600000,0,18444800000,18444800000,,10999800000,10999800000,,18726800000,18726800000,0,2600000,2600000,,0,0,,18729400000,18729400000,0,15249400000,15249400000,,,0,,,0,,3480000000,3480000000,0,940400000,940400000,,2539600000,2539600000,0,0,0,1,0
1591,2016Q3,PUNJAB AND SIND BANK,42003679000,42003679000,0,31207103000,31207103000,,10796576000,10796576000,0,2825913000,2825913000,,13622489000,13622489000,0,7321489000,7321489000,,4840593000,4840593000,,6301000000,6301000000,0,-1072000,-1072000,,,0,,6299928000,6299928000,0,4159213000,4159213000,,771000,771000,,3975000,3975000,,2135969000,2135969000,0,983490000,983490000,,1152479000,1152479000,0,0,0,1,0
1592,2016Q3,PUNJAB NATIONAL BANK,226198428000,234052974000,7854546000,152915781000,158264529000,5348748000,73282647000,75788445000,2505798000,47135259000,47396775000,261516000,120417906000,123185220000,2767314000,53339048000,57351516000,4012468000,38588442000,38669455000,81013000,67078858000,65833704000,-1245154000,32937000,32963000,26000,,,,67111795000,65866667000,-1245128000,47743308000,47743308000,,4978080000,4978080000,,,,,14390407000,13145279000,-1245128000,4588030000,4588030000,,9802377000,8557249000,-1245128000,0,0,1,0
1593,2016Q3,STATE BANK OF BIKANER AND JAIPUR,47736100000,47736100000,0,31271900000,31271900000,,16464200000,16464200000,0,6124500000,6124500000,,22588700000,22588700000,0,10801000000,10801000000,,6220800000,6220800000,,11787700000,11787700000,0,,0,,,0,,11787700000,11787700000,0,18451000000,18451000000,,,0,,,0,,-6663300000,-6663300000,0,-2346700000,-2346700000,,-4316600000,-4316600000,0,0,0,1,0
1594,2016Q3,STATE BANK OF HYDERABAD,70141769000,70141769000,0,48065901000,48065901000,,22075868000,22075868000,0,9926538000,9926538000,,32002406000,32002406000,0,11888936000,11888936000,,5760791000,5760791000,,20113470000,20113470000,0,,0,,,0,,20113470000,20113470000,0,29678842000,29678842000,,,0,,,0,,-9565372000,-9565372000,0,-2080300000,-2080300000,,-7485072000,-7485072000,0,0,0,1,0
1595,2016Q3,STATE BANK OF INDIA,3182757200000,3356494800000,173737600000,2116345600000,2206504000000,90158400000,1066411600000,1149990800000,83579200000,403947600000,429982800000,26035200000,1470359200000,1579973600000,109614400000,860549200000,889232400000,28683200000,514568800000,524389600000,9820800000,609810000000,690741200000,80931200000,193943200000,200386000000,6442800000,0,0,0,803753200000,891127200000,87374000000,594119200000,612392800000,18273600000,0,0,0,0,0,0,209634000000,278734400000,69100400000,60974000000,76363200000,15389200000,148660000000,202371200000,53711200000,0,0,1,0
1596,2016Q3,STATE BANK OF MYSORE,34381127000,34381127000,0,24470594000,24470594000,,9910533000,9910533000,0,4976931000,4976931000,,14887464000,14887464000,0,8691903000,8691903000,,5194452000,5194452000,,6195561000,6195561000,0,-5482000,-5482000,,,0,,6190079000,6190079000,0,15560200000,15560200000,,,0,,,0,,-9370121000,-9370121000,0,-2816000000,-2816000000,,-6554121000,-6554121000,0,0,0,1,0
1597,2016Q3,STATE BANK OF PATIALA,50896000000,50896000000,0,38646800000,38646800000,,12249200000,12249200000,0,7086900000,7086900000,,19336100000,19336100000,0,10662400000,10662400000,,6258200000,6258200000,,8673700000,8673700000,0,,0,,,0,,8673700000,8673700000,0,40182700000,40182700000,,,0,,,0,,-31509000000,-31509000000,0,-12006000000,-12006000000,,-19503000000,-19503000000,0,0,0,1,0
1598,2016Q3,STATE BANK OF TRAVANCORE,47279866000,47279866000,0,35218505000,35218505000,,12061361000,12061361000,0,7509204000,7509204000,,19570565000,19570565000,0,10377463000,10377463000,,6087110000,6087110000,,9193102000,9193102000,0,-181000,-181000,,,0,,9192921000,9192921000,0,19173919000,19173919000,,,0,,,0,,-9980998000,-9980998000,0,3324800000,3324800000,,-13305798000,-13305798000,0,0,0,1,0
1599,2016Q3,SYNDICATE BANK,111863842000,116476894000,4613052000,81958908000,86240733000,4281825000,29904934000,30236161000,331227000,13156516000,13459241000,302725000,43061450000,43695402000,633952000,25641453000,25790258000,148805000,17139101000,17204073000,64972000,17419997000,17905144000,485147000,4340000,4340000,0,0,0,0,17424337000,17909484000,485147000,13162391000,14536653000,1374262000,347503000,347503000,0,398910000,399126000,216000,3515533000,2626202000,-889331000,990000000,1010746000,20746000,2525533000,1615456000,-910077000,0,0,1,0
1600,2016Q3,UCO BANK,82703862000,85190865000,2487003000,61609269000,62873673000,1264404000,21094593000,22317192000,1222599000,10809422000,11501228000,691806000,31904015000,33818420000,1914405000,14331979000,14637897000,305918000,9510404000,9658768000,148364000,17572036000,19180523000,1608487000,1303000,1303000,,,,,17573339000,19181826000,1608487000,26253179000,27388413000,1135234000,,,,,,,-8679840000,-8206587000,473253000,42985000,47300000,4315000,-8722825000,-8253887000,468938000,0,0,1,0
1601,2016Q3,UNION BANK OF INDIA,156194500000,160847600000,4653100000,113837200000,117050600000,3213400000,42357300000,43797000000,1439700000,21184900000,21543200000,359000000,63542200000,65340200000,1798700000,28160600000,31142500000,2981900000,17254100000,17326000000,71900000,35381600000,34197700000,-1183200000,250000000,250000000,,,,,35631600000,34447700000,-1183200000,30129700000,30503100000,373400000,,,,,,,5501900000,3944600000,-1556600000,2111300000,2177900000,66600000,3390600000,1766700000,-1623200000,0,0,1,0
1602,2016Q3,UNITED BANK OF INDIA,46614443000,46614443000,0,37395357000,37395357000,,9219086000,9219086000,0,10512327000,10512327000,,19731413000,19731413000,0,12093470000,12093470000,,7688817000,7688817000,,7637943000,7637943000,0,,0,,,0,,7637943000,7637943000,0,5610800000,5610800000,,1270600000,1270600000,,-61943000,-61943000,,818486000,818486000,0,,0,,818486000,818486000,0,0,0,1,0
1603,2016Q3,VIJAYA BANK,61878341000,61878341000,0,45773632000,45773632000,,16104709000,16104709000,0,6237991000,6237991000,,22342700000,22342700000,0,12046643000,12046643000,,7529733000,7529733000,,10296057000,10296057000,0,0,0,,0,0,,10296057000,10296057000,0,6510145000,6510145000,,66263000,66263000,,0,0,,3719649000,3719649000,0,557484000,557484000,,3162165000,3162165000,0,0,0,1,0
1604,2016Q4,AB BANK LIMITED,56400000,56400000,0,12400000,12400000,,44000000,44000000,0,208200000,208200000,,252200000,252200000,0,115800000,115800000,,9500000,9500000,,136400000,136400000,0,,0,,,0,,136400000,136400000,0,,0,,,0,,,0,,136400000,136400000,0,58000000,58000000,,78400000,78400000,0,1,0,0,0
1605,2016Q4,ABU DHABI COMMERCIAL BANK PJSC,1501599000,1501599000,0,1183708000,1183708000,,317891000,317891000,0,254014000,254014000,,571905000,571905000,0,304638000,304638000,,172387000,172387000,,267267000,267267000,0,-37000,-37000,,0,0,,267230000,267230000,0,-8738000,-8738000,,0,0,,0,0,,275968000,275968000,0,135502000,135502000,,140466000,140466000,0,1,0,0,0
1606,2016Q4,AMERICAN EXPRESS BANKING CORP.,1976657000,1976657000,0,815153000,815153000,,1161504000,1161504000,0,7521934000,7521934000,,8683438000,8683438000,0,7934144000,7934144000,,939841000,939841000,,749294000,749294000,0,4305000,4305000,,0,0,,753599000,753599000,0,80425000,80425000,,615890000,615890000,,0,0,,57284000,57284000,0,,0,,57284000,57284000,0,1,0,0,0
1607,2016Q4,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1840774000,1840774000,0,1260367000,1260367000,,580407000,580407000,0,1077294000,1077294000,,1657701000,1657701000,0,1115118000,1115118000,,582681000,582681000,,542583000,542583000,0,-153000,-153000,,0,0,,542430000,542430000,0,-35215000,-35215000,,0,0,,0,0,,577645000,577645000,0,235845000,235845000,,341800000,341800000,0,1,0,0,0
1608,2016Q4,"BANK OF AMERICA , NATIONAL ASSOCIATION",13937502000,13937502000,0,5451901000,5451901000,,8485601000,8485601000,0,8008098000,8008098000,,16493699000,16493699000,0,4078734000,4078734000,,2568602000,2568602000,,12414965000,12414965000,0,-52933000,-52933000,,0,0,,12362032000,12362032000,0,247575000,247575000,,600000,600000,,0,0,,12113857000,12113857000,0,5520158000,5520158000,,6593699000,6593699000,0,1,0,0,0
1609,2016Q4,BANK OF BAHRAIN & KUWAIT B.S.C.,943423000,943423000,0,539789000,539789000,,403634000,403634000,0,182609000,182609000,,586243000,586243000,0,228213000,228213000,,115543000,115543000,,358030000,358030000,0,-4000,-4000,,,0,,358026000,358026000,0,69221000,69221000,,57146000,57146000,,,0,,231659000,231659000,0,90181000,90181000,,141478000,141478000,0,1,0,0,0
1610,2016Q4,BANK OF CEYLON,269545000,269545000,0,71670000,71670000,,197875000,197875000,0,60084000,60084000,,257959000,257959000,0,46984000,46984000,,18034000,18034000,,210975000,210975000,0,,0,,,0,,210975000,210975000,0,-461000,-461000,,,0,,,0,,211436000,211436000,0,18552000,18552000,,192884000,192884000,0,1,0,0,0
1611,2016Q4,BANK OF NOVA SCOTIA,3751397000,3751397000,0,2266685000,2266685000,,1484712000,1484712000,0,632197000,632197000,,2116909000,2116909000,0,726903000,726903000,,346007000,346007000,,1390006000,1390006000,0,76000,76000,,,0,,1390082000,1390082000,0,1493763000,1493763000,,,0,,,0,,-103681000,-103681000,0,-45810000,-45810000,,-57871000,-57871000,0,1,0,0,0
